objID,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
587745541047452663,133.01363944,11.74294362,23.6986,22.92346,22.45794,22.4429,22.1633
587745541047452225,133.01367742,11.67480367,22.2956,19.60545,18.28315,17.77533,17.47721
587745541047451776,133.01369719,11.71123987,17.252,15.6244,15.0194,14.83156,14.74931
587745243083702485,133.01377164,11.96792822,15.49728,14.23768,14.69184,13.70345,13.68132
587744873716580559,133.05912327,12.05286221,21.97718,19.60478,18.69456,18.34111,18.16969
587745243083702533,133.05958348,11.84774461,16.06384,14.54591,13.99114,13.83111,13.76005
587744873716580738,133.05973715,12.04047966,21.92071,26.08661,25.2607,25.0179,23.13608
587745243083702766,133.05978536,11.89170074,22.99411,20.45727,19.00064,18.07876,17.52698
587745541047452471,133.05980544,11.71166546,23.40363,22.39655,20.88296,19.91995,19.45953
587745541047452267,133.05998291,11.70145676,21.52514,19.07487,17.66606,17.03427,16.71066
587745541047452033,133.06001625,11.77581342,18.09976,16.27692,15.43421,15.09086,14.9019
587745243083702535,133.06007025,11.85056791,25.42686,25.28868,24.8138,23.90424,19.04921
587745243083703243,133.06040943,11.97475877,23.09288,22.96601,23.83061,23.5926,22.07899
587745243083703576,133.06048812,11.97909621,24.11975,24.24367,23.15993,21.94673,20.9047
587745243083703201,133.06049978,11.90423979,24.894,23.06662,21.76919,21.1672,20.65627
587745243083703572,133.06063431,11.96585689,23.02557,24.03304,23.11774,21.52062,20.37827
587745541047255684,132.6156312,11.65807603,22.65,25.25013,25.09638,25.02055,23.55243
587745541047255899,132.61566044,11.61502522,24.52076,25.02118,24.66996,24.82955,21.33875
587744873716384504,132.61617215,11.96743644,24.83679,24.31066,22.58451,21.17811,20.04705
587745541047256201,132.61643826,11.57143831,23.97916,24.30043,23.06003,21.66236,21.10191
587744873716384227,132.61647374,11.90219647,23.572,22.30682,20.94225,19.28968,18.37828
587745243083506625,132.61648387,11.85670552,24.4218,23.19243,22.59108,22.01532,21.07449
587744873716384515,132.6166224,12.01005955,26.16467,23.57773,22.38144,22.29385,21.36624
587745541047255545,132.61665487,11.56706086,23.61825,21.53234,20.0979,19.25709,18.80259
587745541047255894,132.61685042,11.60177674,22.99691,22.70028,22.36012,22.39454,22.41648
587744873716383758,132.61686402,11.91403001,15.72102,14.44065,14.01686,13.84262,13.83541
587745541047255254,132.664011,11.62402538,19.98185,18.65966,18.1353,17.96025,17.89874
587744873716383844,132.66446481,12.04259443,18.11065,15.4236,13.98969,13.82731,12.33513
587745541047256252,132.66454741,11.66513077,24.81415,24.21999,23.01868,21.72716,21.73595
587744873716384203,132.66501687,12.03009197,23.44637,21.2724,19.87611,19.16714,18.70694
587745243083572390,132.66524548,11.85818144,23.41183,23.50899,22.80857,21.9674,22.39305
587745243083506227,132.66530128,11.73593613,22.15837,24.33706,24.74795,24.97204,23.09711
587745243083571839,132.71743545,11.83962525,21.71442,19.35143,17.88669,16.31506,15.43309
587745243083572280,132.71750334,11.77518585,25.28677,24.41281,22.56765,21.02333,20.15211
587745243083571283,132.71768739,11.81095237,17.70137,15.95458,15.33927,15.17948,15.15042
587745243083571255,132.71791601,11.75098048,16.29305,14.91797,14.41042,14.27953,14.27848
587745243083571847,132.71810191,11.86427936,21.52992,20.04775,19.492,19.25595,19.19185
587745541047321653,132.71880115,11.58894966,25.59473,23.66684,22.71567,22.69187,21.86657
587745243083572035,132.7188545,11.86860106,21.74224,21.33885,21.36475,21.36984,22.16416
587745243083572448,132.76585912,11.83752119,25.3651,25.11231,25.24578,22.25482,20.6346
587745541047321249,132.76586043,11.70313291,23.54492,21.79613,20.39725,19.16636,18.51613
587744873716449341,132.76587479,12.00901857,22.87233,21.96365,20.52566,19.89643,19.45091
587745243083571483,132.76597926,11.86089403,22.41425,19.5779,18.1485,17.39201,17.03283
587745541047321544,132.76603129,11.73796698,25.55246,23.16752,21.49886,21.01438,20.61758
587745541047321847,132.76611554,11.62590454,23.70692,23.57635,23.14319,22.2853,22.15629
587745243083571527,132.76627325,11.87351246,17.85388,16.38511,15.76997,15.49593,15.42555
587745541047320840,132.7666139,11.70664047,15.91229,14.75869,14.38895,14.30436,14.27123
587745243083636826,132.81599917,11.90101272,17.61566,15.83948,15.15959,14.94253,14.80583
587745403608564683,132.81613741,11.5662049,23.84707,23.81511,22.83398,22.7154,21.50319
