z,petroMag_r
0.04548399,15.40289
0.04545274,15.40289
0.09294174,16.76316
0.09296996,16.76316
0.09293688,16.76316
0.1112266,17.14678
0.1105345,15.70076
0.11052,15.70076
0.1105595,15.70076
0.110094,17.11498
0.1100795,17.11498
0.1100988,17.11498
0.2166967,17.4321
0.2169762,17.4321
0.2167329,17.4321
0.112586,17.80191
0.1125582,17.80191
0.1126306,17.80191
0.05369698,16.71839
0.05373847,16.71839
0.05374501,16.71839
0.1031754,16.97233
0.1031393,16.97233
0.1031448,16.97233
0.1124549,17.97077
0.1124667,17.97077
0.1124582,17.97077
0.1120772,17.17951
0.1120955,17.17951
0.1120551,17.17951
0.3351122,19.1063
0.3351501,19.1063
0.3351469,19.1063
0.08393122,16.74936
0.08400247,16.74936
0.0839983,16.74936
0.110381,17.16322
0.1103809,17.16322
0.1103578,17.16322
0.1072706,17.01374
0.1072484,17.01374
0.1072724,17.01374
0.08683293,17.62398
0.08687946,17.62398
0.1093393,17.65204
0.1093265,17.65204
0.1093306,17.65204
0.1077769,16.88685
0.1078283,16.88685
0.05403716,24.80194
0.05401157,24.80194
0.1528326,17.65708
0.1554383,17.86599
0.1554764,17.86599
0.1487181,17.82998
0.1486618,17.82998
0.1067317,17.38861
0.1067319,17.38861
0.1067957,17.38861
0.1080253,16.53029
0.1079833,16.53029
0.1080581,16.53029
0.07845968,16.88151
0.07839298,16.88151
0.07844751,16.88151
0.1105524,16.96302
0.1103331,16.96302
0.1104253,16.96302
0.08199167,16.41958
0.08199954,16.41958
0.08196647,16.41958
0.1793902,17.4835
0.1794274,17.4835
0.1793802,17.4835
0.08150776,17.28703
0.08150151,17.28703
0.08139528,17.28703
0.08198404,18.09586
0.08200451,18.09586
0.08201976,18.09586
0.08185483,17.16056
0.08190598,17.16056
0.08187867,17.16056
0.1077784,15.54079
0.1078505,15.54079
0.1078572,15.54079
0.04613728,15.3346
0.04614699,15.3346
0.168676,17.61071
0.1687708,17.61071
0.084674,17.18924
0.08471301,17.18924
0.1329812,16.60114
0.1328582,16.60114
0.1790823,17.55583
0.1791077,17.55583
0.04843285,16.95573
0.04846639,16.95573
0.2383897,17.94456
0.2385569,17.94456
0.07534166,17.86322
0.07534587,17.86322
0.03666773,16.7593
0.03666505,16.7593
