z,mag_r,absmag_r
0.04723289,15.8047,-20.8004431080973
0.04716573,17.09786,-19.5040776830655
0.04723592,16.51464,-20.0906462916388
0.04718106,17.09786,-19.5048079278421
0.04726475,16.51464,-20.0920174828578
0.04035684,17.05421,-19.1982053164977
0.0403438,17.05421,-19.197482103281
0.04475605,16.90961,-19.5745874465083
0.03246796,15.80005,-19.9672010575904
0.04474062,16.90961,-19.5738140194614
0.03245946,15.80005,-19.9666184947538
0.04470943,16.47229,-20.0095620844361
0.04977782,16.58722,-20.1359491510802
0.04428656,16.19294,-20.2675974511337
0.04518585,16.73746,-19.7681825489423
0.04499136,16.51723,-19.9787272457286
0.04247649,16.03294,-20.3340621815429
0.04507175,16.31844,-20.1815224462424
0.04862739,16.13698,-20.533580377599
0.04628501,16.61299,-19.9466035539494
0.04168135,15.69692,-20.6277605313293
0.04055981,15.64242,-20.6212202005055
0.04111088,15.36489,-20.9289479114974
0.04748411,17.1095,-19.5075658926697
0.04341232,16.47443,-19.9414088061092
0.04541563,16.21019,-20.3068322077457
0.04228496,15.29439,-21.062493539947
0.04117141,16.39419,-19.9029414451655
0.04785177,16.83693,-19.7974699817798
0.0458436,16.68021,-19.8578652295977
0.04144965,16.11155,-20.2006525348587
0.04176417,16.28451,-20.0446154232523
0.04614336,17.31085,-19.241859112697
0.0443475,17.23461,-19.2290156818401
0.04384797,17.10066,-19.3375577388463
0.0467645,16.02125,-20.5615005977879
0.04335027,17.39533,-19.0172982926445
0.0448721,16.275,-20.2150086538957
0.04715846,15.88442,-20.7171730509908
0.04812082,14.21986,-22.4271465492798
0.0426452,16.73932,-19.6365615536223
0.04140621,16.34011,-19.9697417784285
0.0471465,16.45146,-20.149561409882
0.04596619,16.40432,-20.13975306507
0.04484872,16.75517,-19.7336623811809
0.04638718,16.0908,-20.4737511879297
0.04232889,17.15443,-19.2047783656811
0.04957389,16.7941,-19.9198278067262
0.04388978,16.01356,-20.4267977301643
0.04161749,17.07633,-19.2449220700237
0.04731286,17.48851,-19.1204327205855
0.04931395,14.95687,-21.7452295594338
0.04947625,16.93977,-19.769720603613
0.04346457,15.38569,-21.0328406814135
0.04329554,16.99224,-19.417562095303
0.04260117,15.97828,-20.3952891779863
0.04852981,17.3497,-19.3163434606127
0.03607096,14.66183,-21.3398209643736
0.03448598,14.9107,-20.9907891113845
0.03306643,15.90259,-19.9053014618487
0.03933707,16.04565,-20.1495321370456
0.04044293,16.8696,-19.3875823309804
0.03899339,14.90922,-21.2663521018633
0.03984923,15.19558,-21.0285236848649
0.03870971,14.13891,-22.0203433777079
0.03971817,16.32343,-19.8933138166395
0.02614697,15.88168,-19.4049993427042
0.03804233,15.84229,-20.2781144567821
0.03836371,16.56969,-19.5695082668375
0.03808302,15.84346,-20.2793366514153
0.03730522,15.54496,-20.5317645112494
0.04899042,15.55972,-21.1275681423451
0.03834352,16.9265,-19.2115245886473
0.04839813,17.19192,-19.4680081358675
0.0334835,15.17692,-20.6588765685208
0.02864285,16.30006,-19.1887099844256
0.0461611,16.95722,-19.596354618732
0.04580676,17.35988,-19.1763898141838
0.04600343,14.33829,-22.2076014487703
0.04664776,16.43753,-20.1396009295383
0.04498773,16.96825,-19.5275266161108
0.0329841,15.32529,-20.4770546593855
0.03375299,15.41117,-20.4424751644685
0.03456711,15.81969,-20.0870330178288
0.03457265,14.54007,-21.3670128177749
0.03399407,16.61956,-19.2499257870718
0.03133979,14.15443,-21.5341807268219
0.03587253,15.1618,-20.8275525002776
0.03641907,16.53223,-19.4908438479391
0.03910941,14.9802,-21.2020103623171
0.03836075,16.55452,-19.5845070825253
0.0385065,14.62363,-21.523863662056
0.01846641,12.79517,-21.7235450173631
0.01849591,15.39373,-19.1285024142983
0.04364219,15.61535,-20.8123189611568
0.04467151,16.47229,-20.0076587210435
0.04713511,16.21042,-20.3900635518278
0.03494354,14.99583,-20.9350290022948
0.03397743,15.3428,-20.5256018659203
0.02770622,14.81431,-20.600727956991
0.04991302,17.08225,-19.6470235463137
0.01870119,12.66013,-21.8864059630247
0.04001037,14.80451,-21.428624044563
0.03937567,16.63795,-19.5594258722259
0.04016168,15.66347,-20.5781028142713
0.03879983,15.58243,-20.5820247734802
0.03850097,16.07926,-20.0679156777502
0.02609216,15.92978,-19.3522486837823
0.03815033,14.90871,-21.2180322941238
0.03784388,16.77603,-19.3327036925455
0.03790334,15.93617,-20.1760636997304
0.04872381,16.75004,-19.9249762521706
0.03270039,16.5919,-19.1912248604098
0.03267652,16.5919,-19.1896004850335
0.03368467,14.46583,-21.3832958376553
0.03367684,14.46583,-21.3827779290145
0.04373935,17.3077,-19.1249579771141
0.043736,17.3077,-19.1247859231755
0.04374476,17.0288,-19.4041315542132
0.04376306,17.0288,-19.4050693972179
0.04526117,15.40295,-21.1064299065979
0.0452228,15.40295,-21.1045266890693
0.04390857,16.99606,-19.4452589382092
0.04389195,16.99606,-19.4444101325052
0.04455411,16.07119,-20.4028611032911
0.04454955,16.07119,-20.4026315150962
0.04460886,15.12243,-21.3543762912851
0.04458822,15.12243,-21.3533381979403
0.04568858,17.36912,-19.1613530633667
0.04574651,17.36912,-19.1641974787993
0.03345294,15.09949,-20.7342746029033
0.03345513,15.09949,-20.7344201208211
0.03342812,14.38635,-21.4457619687933
0.0333937,14.38635,-21.4434684757044
0.03144841,15.8035,-19.8927983164106
0.0314129,15.8035,-19.8902862486475
0.03297864,16.46746,-19.3345169000722
0.03283598,16.41765,-19.3746782406593
0.04546872,16.09971,-20.4199393836857
0.0466034,16.76736,-19.8076316203005
0.02148222,14.25405,-20.5981800050729
0.02134296,14.94229,-19.8955805438728
0.02849584,16.46352,-19.0138322945426
0.02836903,14.98539,-20.4820703150122
0.02922444,13.73453,-21.7988498030537
0.04696816,16.74691,-19.8456031944188
0.04987356,16.91049,-19.817011346141
0.02618548,16.24452,-19.0454193451835
0.03936305,16.01154,-20.1851268320556
0.04037981,15.1309,-21.1227860913067
0.03976493,16.025,-20.1943702717883
0.04061377,14.1637,-22.1029095558896
0.03866832,13.74019,-22.4166775440397
0.03917246,17.02644,-19.1593776709004
0.03968886,14.7778,-21.4372944202482
0.0385818,16.52043,-19.6314330838875
0.03888225,16.94207,-19.227129074782
0.0388545,16.94207,-19.2255337165566
0.03899863,13.57275,-22.6031202230874
0.04032925,15.64049,-20.6103943671773
0.03764759,14.92171,-21.175406710279
0.03750507,16.87259,-19.2160608246383
0.04049346,16.24527,-20.0147058721596
0.03942392,15.06291,-21.137206120318
0.03842232,16.70266,-19.4399493033995
0.03789995,14.70442,-21.4076106396538
0.04019351,16.11574,-20.127608702653
0.03787675,17.10497,-19.005693095815
0.04774925,15.76507,-20.8645084987514
0.0479777,17.31604,-19.3242683738294
0.0386696,17.02785,-19.1290961887003
0.0259476,15.49161,-19.7781195154559
0.04228432,15.61977,-20.7370718423505
0.04195643,15.47271,-20.866702816324
0.04609613,15.36061,-21.1898019079358
0.04603692,15.36061,-21.1869153697201
0.04514595,15.92227,-20.5813843703381
0.04516444,15.92227,-20.5823034089596
0.04467785,16.63964,-19.8406282553748
0.04461014,16.63964,-19.8372257727284
0.03228866,16.52991,-19.2250206671238
0.03229077,16.52991,-19.2251664331596
0.04615523,16.59258,-19.9607139895132
0.04620731,16.59258,-19.9632464898397
0.04659506,16.17176,-20.4028298551479
0.04660665,16.17176,-20.4033885003092
0.0463645,16.11981,-20.4436363259697
0.04643646,16.11981,-20.4471196119166
0.04561804,16.68298,-19.844022300984
0.0455955,16.68298,-19.8429131377615
0.02125578,13.89949,-20.929346053995
0.02125802,13.89949,-20.9295790742179
0.02121364,15.35189,-19.4725677062014
0.02122282,15.35189,-19.4735227690126
0.04604954,17.4483,-19.0998453097508
0.0460473,17.4483,-19.0997359515431
0.03367727,13.842,-22.006637755926
0.02161491,14.22284,-20.6429784633088
0.02150348,14.39983,-20.4545782217316
0.03168469,16.398,-19.314941645656
0.02889339,16.29924,-19.2088522122072
0.03203462,14.38719,-21.3501773243615
0.01879655,14.29706,-20.2606808333861
0.01619722,14.89399,-19.3362114219226
0.03970751,16.40348,-19.8126602171789
0.03753402,16.46073,-19.6296407623842
0.03743362,14.79741,-21.2869878416044
0.04267079,16.70379,-19.6734393734966
0.04942285,16.79242,-19.9146446163821
0.0404985,17.02447,-19.235784502737
0.03910039,16.05381,-20.1278893698942
0.03928244,16.26888,-19.9232048221727
0.03946274,15.44144,-20.760877944325
0.04538929,16.91842,-19.5973026494946
0.045327,16.91842,-19.5942205270605
0.04555192,16.27265,-20.2511039126781
0.04559936,16.27265,-20.2534405877327
0.04544576,16.98539,-19.5331224696084
0.04544703,16.98539,-19.5331855783047
0.03249149,15.57521,-20.1936569015881
0.04599465,17.37012,-19.1753418655639
0.04507078,16.84444,-19.6554732461664
0.04504999,16.84444,-19.6544380530755
0.04559894,16.80958,-19.7164838746821
0.04708766,16.25494,-20.3432809470569
0.04705122,16.25494,-20.3415415051111
0.04517534,16.34764,-20.1574766508207
0.04447901,17.24075,-19.2295153573756
0.04423782,16.28286,-20.1752135470268
0.04468237,16.27951,-20.2009875510415
0.02145066,15.84824,-19.0007444925703
0.0456757,17.4189,-19.1109399330107
0.04510868,15.99456,-20.5072437385408
0.02159972,14.14822,-20.7160535651827
0.02170384,14.18067,-20.6942112077842
0.02206458,14.86241,-20.0488708220387
0.02852034,15.99384,-19.4854267747786
0.03511519,16.52991,-19.4118672197243
0.03495179,16.92427,-19.0071189040307
0.03886399,14.1986,-21.9695454973604
0.03926485,14.94807,-21.2430058242928
0.03926414,16.18881,-20.002231748551
0.03902899,15.12357,-21.0540476141185
0.03730441,15.94619,-20.1304872356329
0.03987951,16.0171,-20.2087020704364
0.03948564,14.09311,-22.1104997727506
0.0412651,17.11453,-19.1876881970459
0.04985098,16.82484,-19.9016412737161
0.03891089,14.89358,-21.277264768493
0.03779984,17.09688,-19.0092513001743
0.04452823,16.67089,-19.8018531829154
0.0445231,16.67089,-19.8015945612986
0.04556385,16.58593,-19.9384058243458
0.04553893,16.58593,-19.9371776795272
0.04910148,16.73146,-19.9609269700209
0.04389313,17.4363,-19.0042278821544
0.02164586,14.64511,-20.2238671861764
0.03443834,14.55088,-21.3475313130004
0.03445978,14.55088,-21.3489182208295
0.04620881,16.7836,-19.7722983063122
0.04618328,16.7836,-19.7710572587534
0.04622038,15.42265,-21.1338093137915
0.04624074,15.42265,-21.134798103704
0.04474711,16.70199,-19.7817522141183
0.04451234,16.70384,-19.7681009078771
0.0448023,15.60559,-20.8809177504945
0.0456965,15.62458,-20.9062860300514
0.04486018,17.11638,-19.3730314293571
0.04518122,16.68774,-19.8176656937613
0.04717407,17.11475,-19.4875852932123
0.02126984,13.77848,-21.0518208190082
0.04348949,15.08708,-21.3327309715831
0.04497541,16.78973,-19.7054362672281
0.03525358,16.47739,-19.4731549293949
0.04523472,14.437,-22.0710655409796
0.04466367,15.75391,-20.7256498043405
0.03351018,16.56648,-19.2710814913513
0.04992015,17.62719,-19.102413709894
0.04626758,16.39869,-20.1600558804551
0.04630038,16.39869,-20.1616471290191
0.04940629,15.58771,-21.1186001325806
0.04846503,15.23788,-21.4251518165217
0.04607654,17.09101,-19.4584535567455
0.03392197,16.27513,-19.5896316997015
0.03501128,16.91111,-19.0240695188915
0.04419884,15.56806,-20.8880286851395
0.0441659,15.56806,-20.88635672014
0.0449676,15.15846,-21.3363142228821
0.04491851,15.15846,-21.3338630849509
0.04719725,16.44946,-20.1539779145103
0.04708678,16.44946,-20.1487124978484
0.0464108,17.25234,-19.3133477596081
0.04634758,17.25234,-19.3102866900121
0.04479999,17.20366,-19.2827407085878
0.04473305,17.20366,-19.2793859059305
0.04464794,17.03495,-19.4438181441847
0.04468038,17.03495,-19.4454479109809
0.04476759,16.13585,-20.3489255554662
0.044733,16.13585,-20.3471912546501
0.04717308,16.01579,-20.5865010505
0.04711639,16.01579,-20.5837987076631
0.04662735,14.44318,-22.1329693769974
0.04661307,14.44318,-22.1322811789859
0.02134107,13.81107,-21.0266111904059
0.02133142,13.81107,-21.0256135459776
0.02052655,15.34359,-19.4082303783957
0.02049355,15.34359,-19.4046816894104
0.03140608,15.63293,-20.0603712655749
0.03141538,15.63293,-20.0610295961113
0.02064876,14.58161,-20.1833015415419
0.0288725,15.75423,-19.7522654871659
0.03745212,15.22327,-20.8622223444522
0.031374,16.00281,-19.6882195375416
0.04344077,17.2378,-19.1795029702583
0.0427446,17.33779,-19.0433090976199
0.03349962,14.44866,-21.3881995199017
0.03180367,16.50595,-19.2153237151985
0.03176129,16.56081,-19.1575014992323
0.04373433,16.74202,-19.6903820173259
0.04865386,17.05683,-19.6149475324608
0.04725127,16.77342,-19.8325968457888
0.04721433,14.37266,-22.2315993548238
0.04459035,14.98833,-21.4875415473457
0.04738984,17.25375,-19.3588426841066
0.04734555,16.79343,-19.8170664942535
0.03944447,16.5224,-19.6788851910581
0.03896602,15.08161,-21.0923937192034
0.02878676,16.06081,-19.43908150194
0.03808925,15.49964,-20.6235260714868
0.03826432,15.65143,-20.4819771535197
0.02632784,16.0584,-19.2435434266847
0.03694027,15.51818,-20.5366060940451
0.0388406,17.13177,-19.0350331481191
0.03322666,15.68769,-20.1309646318383
0.04874733,17.30343,-19.3726676226078
0.04228243,16.58696,-19.7697892406577
0.04896778,16.15523,-20.531023302325
0.04043934,17.11741,-19.1395714147825
0.04901973,13.7787,-22.9099386012752
0.04828431,15.74628,-20.9083519234169
0.04153075,16.46305,-19.8535246613797
0.04470693,15.51456,-20.9671718991358
0.0465611,16.31161,-20.2613453092355
0.048347,15.46772,-21.1898277734009
0.04809754,16.13211,-20.5138030384849
0.04417122,16.438,-20.0166946529213
0.04444351,16.35148,-20.1169914190345
0.04184173,15.71896,-20.614322462494
0.03710879,16.46699,-19.5979459315931
0.046953,17.0771,-19.5146813843996
0.03308398,16.55525,-19.2538194063792
0.02719358,15.62578,-19.7478513012124
0.04973259,15.91536,-20.805768043044
0.03935346,16.16282,-20.0332985477437
0.04566274,15.23406,-21.2951461050174
0.04664793,16.42234,-20.1547954915537
0.0435949,17.14061,-19.2846369240876
0.03341235,14.36942,-21.4616411937726
0.04708967,15.88058,-20.7177400653849
0.03404677,16.09939,-19.7735515124028
0.0316402,16.462,-19.2478165462746
0.02937375,15.62258,-19.9221106371092
0.02795164,16.00602,-19.4285721099332
0.01855623,14.81145,-19.7179528827702
0.01876407,13.80274,-20.7511901435985
0.01881749,15.47522,-19.0849807357714
0.01873406,15.15368,-19.3967263507777
0.03899567,15.45821,-20.7174980205691
0.03907213,16.11512,-20.0649660043835
0.03947514,17.08414,-19.1188740200236
0.02922927,16.33826,-19.1954896810111
0.04987152,16.48289,-20.2445141672214
0.04655844,15.35474,-21.2180840242649
0.04922131,16.51503,-20.1828404602419
0.03782057,16.65385,-19.4534990868446
0.03935543,15.07699,-21.1192423358174
0.03929891,15.07699,-21.1160296213677
0.04510714,14.36517,-22.1365579142545
0.04510422,14.36517,-22.1364126094257
0.04441686,16.86226,-19.6048679137749
0.0444685,16.86226,-19.6074738561531
0.04766853,17.03964,-19.5861375104216
0.0476416,17.03964,-19.5848673922899
0.04614044,16.06981,-20.4827640591718
0.046166,16.06981,-20.4840078540153
0.04550909,15.67546,-20.8461735005517
0.04550453,15.67546,-20.8459485862141
0.04627349,17.34773,-19.2113089126288
0.04623601,17.34773,-19.2094889707448
0.03271956,15.89141,-19.8930203559213
0.03266453,15.89141,-19.8892750078888
0.0120204,13.26652,-20.3090458115698
0.0286682,13.49174,-21.9989984045616
0.04977495,17.49362,-19.2294203191917
0.02630042,14.99592,-20.3037145446324
0.04607204,15.49714,-21.0521005813752
0.03895548,16.89122,-19.2821815087408
0.04860517,16.3372,-20.3323283416267
0.04191952,16.00401,-20.3334274460082
0.0225078,15.37628,-19.578927302598
0.03829499,14.08033,-22.0548639724535
0.03810253,15.02834,-21.0956014062619
0.04864092,16.02769,-20.6434954993997
0.02603709,15.64323,-19.6341185203893
0.02611633,16.23775,-19.0463302621419
0.0386969,13.48934,-22.669181142692
0.03974292,16.94855,-19.2695808264085
0.0378281,16.27049,-19.8373070580267
0.03763325,15.8342,-20.262067988118
0.03768215,15.25957,-20.8395969415795
0.03755802,15.48623,-20.6055722148295
0.03723248,16.75196,-19.3204112346666
0.04886655,17.64954,-19.0320493559208
0.03856622,16.91138,-19.23958533452
0.0411797,15.59288,-20.7047019744205
0.03855626,16.79906,-19.3513260252224
0.02143087,14.55294,-20.2940093987782
0.04448785,17.11669,-19.3540230899337
0.04431597,14.54841,-21.9136224755201
0.04334894,17.33759,-19.0749745079148
0.04491033,15.50901,-20.9829041231226
0.01966155,15.18449,-19.4723956032627
0.03349381,13.87008,-21.9663969928033
0.03373685,16.75617,-19.0964038465899
0.03807246,15.921,-20.2011758554344
0.04805402,15.89668,-20.7472052173437
0.04096115,14.3707,-21.9149695036147
0.04329176,17.22221,-19.1873952179866
0.04399181,17.10335,-19.3422137163268
0.04367269,15.05399,-21.375245488986
0.03801814,17.01856,-19.1004283004766
0.01724125,15.24855,-19.1190452349116
0.02120981,15.5111,-19.3129655647757
0.03192908,14.71376,-21.0162613973043
0.03951909,15.41332,-20.7921857075568
0.03896445,16.57446,-19.5994494394505
0.04973849,17.27143,-19.4499657149691
0.04979068,17.12207,-19.6016793773451
0.0496467,17.24153,-19.4757074454508
0.03916226,15.66391,-20.5213244291492
0.03884946,16.33827,-19.8290398297184
0.0465842,17.38198,-19.1920838598082
0.03930984,16.0313,-20.1623431276717
0.03806753,15.28678,-20.8351037677047
0.03828512,16.6365,-19.498122816037
0.0499925,17.73268,-19.0001768047038
0.03843958,14.69495,-21.4486634390767
0.03859503,16.22838,-19.9242445679993
0.03789517,16.73856,-19.3731920159011
0.03759082,16.37273,-19.7210220101862
0.03943185,15.90421,-20.2963540850802
0.04044758,16.44052,-19.8169185283661
0.04009909,16.23634,-20.0017491885838
0.0389563,16.02678,-20.1466675339134
0.04345975,16.39807,-20.0202169904072
0.01251297,13.81616,-19.8474462068946
0.04046816,16.94833,-19.3102474733399
0.04045619,16.94833,-19.3095859324395
0.01902536,13.71062,-20.8737813613202
0.04931947,16.55522,-20.1471301737657
0.04202126,16.13901,-20.2038632359339
0.04829505,17.52127,-19.1338581863327
0.01865457,14.41556,-20.12548169762
0.02443011,14.92097,-20.2153868945448
0.04086484,16.66286,-19.6175372934407
0.04090371,16.66286,-19.6196644933188
0.04052293,16.53522,-19.72637827622
0.04057417,16.53522,-19.7292053769857
0.01914829,13.36395,-21.2346455874516
0.01914976,13.36395,-21.2348149099659
0.0191775,13.36395,-21.2380039208075
0.03420196,16.22402,-19.6590488342032
0.03421529,16.22402,-19.6599167159775
0.03419752,16.22402,-19.658759628668
0.04527276,16.6893,-19.8206532964702
0.04524084,16.6893,-19.8190706487723
0.04520881,16.6893,-19.8174810004485
0.02484193,15.08203,-20.0913066006082
0.02961223,14.58052,-20.9821215781883
0.03995192,17.179,-19.050867071024
0.02526626,15.409,-19.8018195282996
0.04303553,17.06866,-19.3276351821714
0.04305903,16.7085,-19.6890193267136
0.04823133,17.33924,-19.3129247555509
0.02403254,15.97755,-19.1225191611492
0.02297334,15.72072,-19.2797149117658
0.04819814,16.35694,-20.2936724880271
0.04750877,17.42374,-19.1944913482156
0.04774006,17.28265,-19.3464970525642
0.04772189,17.28265,-19.3456408501066
0.02310778,15.17275,-19.8405744592039
0.02306633,15.17275,-19.8366068793195
0.0467067,17.33607,-19.2438948344495
0.0467113,17.33607,-19.2441164654084
0.04701507,16.58612,-20.0086302576775
0.04702058,16.58612,-20.0088933829853
0.01794305,13.18299,-21.2724208010644
0.01906901,14.20008,-20.3893718958679
0.01720522,13.5806,-20.7823942271012
0.04720235,16.62048,-19.9832023014996
0.04722916,16.62048,-19.9844785432092
0.04726425,16.62048,-19.9861475198129
0.03387518,15.61472,-20.2469709716387
0.03382676,15.61472,-20.2437858982645
